[2017-11-25 09:28:55.812]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.815]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.818]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.819]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.835]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.835]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.835]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.835]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.835]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.851]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.851]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.851]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.851]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.851]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.866]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
